year,dax
1996,2880.070068359375
1997,4224.2998046875
1998,5006.56982421875
1999,6958.14013671875
2000,6433.60986328125
2001,5160.10009765625
2002,2892.6298828125
2003,3965.159912109375
2004,4256.080078125
2005,5408.259765625
2006,6596.919921875
2007,8067.31982421875
2008,4810.2001953125
2009,5957.43017578125
2010,6914.18994140625
2011,5898.35009765625
2012,7612.39013671875
2013,9552.16015625
2014,9805.5498046875
2015,10743.009765625
2016,11481.0595703125
2017,12917.6396484375
2018,10558.9599609375
2019,13249.009765625
2020,13718.7802734375
2021,15884.8603515625
2022,13923.58984375
2023,16751.640625
