year,sp500
1996,740.739990234375
1997,970.4299926757812
1998,1229.22998046875
1999,1469.25
2000,1320.280029296875
2001,1148.0799560546875
2002,879.8200073242188
2003,1111.9200439453125
2004,1211.9200439453125
2005,1248.2900390625
2006,1418.300048828125
2007,1468.3599853515625
2008,903.25
2009,1115.0999755859375
2010,1257.6400146484375
2011,1257.5999755859375
2012,1426.18994140625
2013,1848.3599853515625
2014,2058.89990234375
2015,2043.93994140625
2016,2238.830078125
2017,2673.610107421875
2018,2506.85009765625
2019,3230.780029296875
2020,3756.070068359375
2021,4766.18017578125
2022,3839.5
2023,4769.830078125
