year,ssmi
1996,3942.199951171875
1997,6265.5
1998,7160.7001953125
1999,7570.10009765625
2000,8135.39990234375
2001,6417.7998046875
2002,4630.7998046875
2003,5487.7998046875
2004,5693.2001953125
2005,7583.89990234375
2006,8785.7001953125
2007,8484.5
2008,5534.52978515625
2009,6545.91015625
2010,6436.0400390625
2011,5936.22998046875
2012,6822.43994140625
2013,8202.98046875
2014,8983.3701171875
2015,8818.08984375
2016,8219.8701171875
2017,9381.8701171875
2018,8429.2998046875
2019,10616.9404296875
2020,10703.509765625
2021,12875.66015625
2022,10729.400390625
2023,11137.7900390625
