,year,cc,ge,pv,rl,rq,va,dax
0,1996,94.08602142333984,91.80327606201172,92.02127838134766,93.9698486328125,90.76087188720705,90.0,2880.070068359375
1,1998,94.65240478515624,93.44261932373048,92.02127838134766,93.5,88.0434799194336,89.05472564697266,5006.56982421875
2,2000,93.0851058959961,93.44261932373048,95.23809814453124,93.53234100341795,90.76087188720705,89.55223846435547,6433.60986328125
3,2002,93.12169647216795,91.35134887695312,85.18518829345703,93.53234100341795,91.8918914794922,94.5273666381836,2892.6298828125
4,2003,93.12169647216795,88.64865112304688,64.8241195678711,93.53234100341795,90.8108139038086,93.53234100341795,3965.159912109375
5,2004,93.59606170654295,89.55223846435547,67.96116638183594,93.75,91.0447769165039,93.75,4256.080078125
6,2005,94.1463394165039,89.21568298339844,75.72815704345703,94.25836944580078,92.1568603515625,93.26923370361328,5408.259765625
7,2006,93.17073059082033,92.68292999267578,82.12560272216797,95.2153091430664,94.11764526367188,93.26923370361328,6596.919921875
8,2007,92.2330093383789,92.2330093383789,81.159423828125,95.2153091430664,94.66019439697266,93.26923370361328,8067.31982421875
9,2008,93.2038803100586,89.32038879394531,79.80769348144531,94.23076629638672,92.2330093383789,93.75,4810.2001953125
10,2009,93.30143737792967,92.82296752929688,77.7251205444336,92.89099884033205,93.7799072265625,92.89099884033205,5957.43017578125
11,2010,93.33333587646484,90.4306182861328,73.459716796875,92.89099884033205,93.7799072265625,92.41706085205078,6914.18994140625
12,2011,93.36492919921876,90.9952621459961,71.56398010253906,92.0187759399414,92.89099884033205,93.42723083496094,5898.35009765625
13,2012,94.31279754638672,91.94313049316406,71.09004974365234,92.0187759399414,91.94313049316406,93.42723083496094,7612.39013671875
14,2013,94.31279754638672,90.52132415771484,76.30331420898438,92.0187759399414,92.41706085205078,93.42723083496094,9552.16015625
15,2014,93.75,93.75,78.0952377319336,93.75,94.23076629638672,96.05911254882812,9805.5498046875
16,2015,93.33333587646484,92.85713958740234,68.0952377319336,93.33333587646484,94.28571319580078,95.5665054321289,10743.009765625
17,2016,93.8095245361328,93.33333587646484,68.57142639160156,91.9047622680664,96.66666412353516,95.07389068603516,11481.0595703125
18,2017,94.76190185546876,93.33333587646484,65.23809814453125,91.42857360839844,95.23809814453124,95.5665054321289,12917.6396484375
19,2018,95.71428680419922,91.42857360839844,64.62264251708984,91.42857360839844,95.23809814453124,95.1456298828125,10558.9599609375
20,2019,95.23809814453124,91.9047622680664,65.0943374633789,92.38095092773438,96.1904754638672,95.16908264160156,13249.009765625
21,2020,95.23809814453124,88.0952377319336,67.92453002929688,90.95237731933594,93.33333587646484,94.20289611816406,13718.7802734375
22,2021,95.71428680419922,87.14286041259766,69.81131744384766,91.42857360839844,94.76190185546876,95.65217590332033,15884.8603515625
23,2022,95.75471496582033,88.20755004882812,66.98113250732422,91.98113250732422,92.45282745361328,94.6859893798828,13923.58984375
24,2023,94.3396224975586,85.37735748291016,66.3507080078125,92.92453002929688,91.98113250732422,94.60784149169922,16751.640625
