,year,cc,ge,pv,rl,rq,va,ibov
0,1996,56.9892463684082,50.819671630859375,38.82978820800781,44.22110366821289,63.0434799194336,57.5,7039.89990234375
1,1998,56.14973449707031,49.72677612304688,34.04255294799805,45.0,63.0434799194336,58.70646667480469,6784.0
2,2000,57.97872161865234,59.01639175415039,53.439151763916016,42.28855895996094,62.5,58.20895385742188,15259.0
3,2002,58.73015975952149,56.216217041015625,57.14285659790039,43.78109359741211,60.5405387878418,62.68656539916992,11268.0
4,2003,59.788360595703125,59.4594612121582,41.70854187011719,42.78606796264648,60.5405387878418,62.189056396484375,22236.0
5,2004,54.67980194091797,53.73134231567383,36.40776824951172,41.346153259277344,55.72139358520508,60.57692337036133,26196.0
6,2005,51.70731735229492,50.490196228027344,37.86407852172852,38.7559814453125,54.411766052246094,63.94230651855469,33456.0
7,2006,53.17073059082031,40.9756088256836,35.26570129394531,43.06220245361328,53.92156982421875,61.05769348144531,44474.0
8,2007,54.8543701171875,45.63106918334961,32.850242614746094,42.105262756347656,52.42718505859375,63.94230651855469,63886.0
9,2008,57.76699066162109,51.4563102722168,33.653846740722656,46.63461685180664,54.36893081665039,63.94230651855469,37550.0
10,2009,56.45933151245117,51.196170806884766,51.18483352661133,51.18483352661133,55.98086166381836,62.55924224853516,68588.0
11,2010,60.47618865966797,53.58851623535156,45.97156524658203,55.45023727416992,59.80861282348633,65.87677764892578,69305.0
12,2011,63.03317642211914,49.289100646972656,41.23222732543945,56.80751037597656,59.71564102172852,63.38028335571289,56754.0
13,2012,56.39810562133789,50.23696517944336,46.445499420166016,52.58216094970703,56.87203979492188,62.91079711914063,60952.0
14,2013,54.97630310058594,51.18483352661133,36.96682357788086,52.58216094970703,56.39810562133789,60.56338119506836,51507.0
15,2014,44.230770111083984,47.11538314819336,42.85714340209961,57.69230651855469,50.96154022216797,62.068965911865234,50007.0
16,2015,40.47618865966797,45.238094329833984,34.28571319580078,50.47618865966797,47.14285659790039,62.068965911865234,43350.0
17,2016,39.52381134033203,43.33333206176758,31.904762268066406,46.66666793823242,46.66666793823242,62.068965911865234,60227.0
18,2017,35.71428680419922,40.0,29.5238094329834,42.85714340209961,47.619049072265625,61.083744049072266,76402.0
19,2018,38.0952377319336,33.33333206176758,29.24528312683105,42.85714340209961,40.47618865966797,59.70873641967773,87887.0
20,2019,39.52381134033203,41.904762268066406,20.754716873168945,46.66666793823242,49.0476188659668,56.5217399597168,115964.0
21,2020,37.619049072265625,34.761905670166016,31.13207626342773,46.19047546386719,47.619049072265625,57.00482940673828,119306.0
22,2021,34.28571319580078,33.80952453613281,31.13207626342773,41.904762268066406,47.14285659790039,56.03864669799805,104822.0
23,2022,32.075469970703125,31.13207626342773,31.13207626342773,43.39622497558594,43.867923736572266,55.55555725097656,110031.0
24,2023,34.433963775634766,32.075469970703125,28.436019897460938,41.98113250732422,40.09434127807617,59.80392074584961,134185.0
